cz	p
0.022101044	0.9823674
2.335491257	0.01951777
2.269139713	0.02325983
-1.897837628	0.05771747
1.357784719	0.174532
-0.117797833	0.9062278
0.435624408	0.6631093
-3.580132003	0.000343421
-1.215191642	0.224293
-0.614982261	0.5385664
-0.713867109	0.4753094
-1.76767937	0.07711452
-0.084267271	0.9328439
-2.142631022	0.03214274
-0.911466722	0.3620495
-0.402872805	0.6870418
-2.079488411	0.03757248
0.749127382	0.4537804
4.516914628	6.27E-06
1.53863627	0.1238931
-3.444878281	0.000571317
-2.789238091	0.005283221
-0.208047737	0.8351917
-4.865595685	1.14E-06
-5.855055586	4.77E-09
-3.484700699	0.000492688
0.262633181	0.7928333
-0.358574639	0.7199133
2.525999084	0.01153698
1.994647875	0.0460813
3.047038912	0.002311078
1.41440388	0.1572434
4.529230562	5.92E-06
-2.49929388	0.01244411
-1.848071471	0.064592
-1.108135681	0.2678032
2.33615132	0.01948336
0.007442639	0.9940617
2.313412928	0.02069995
-2.520978283	0.01170291
-5.405493749	6.46E-08
-0.178713132	0.858163
2.840690727	0.004501595
2.956722434	0.003109279
-2.894550993	0.003797012
-3.579908171	0.000343715
