Subject	Age	Gender	Handedness	WMC	CRAT	CZ.rep	CZ	Capacity	RT.left	RT.right	RT.single	RT.both	RT.left.rep	RT.right.rep	RT.single.rep	RT.both.rep	ACC.left	ACC.right	ACC.single	ACC.both	ACC.left.rep	ACC.right.rep	ACC.single.rep	ACC.both.rep	ans.left.rep	ans.right.rep	ans.single.rep	ans.both.rep
1	21	F	R	32	16	-0.037510876	0.022101044	Unlimited	5211.608247	5729.164948	5470.386598	8519.572917	5199.583756	5699.418367	5448.86514	8519.572917	0.985	0.985	0.985	0.989949749	1	0.995	0.9975	0.989949749	3	2	5	0
2	20	M	L	37	17	2.183042384	2.335491257	Super	8208.147959	8004.223404	8108.309896	12483.39796	8170.645	7887.373057	8031.531807	12483.39796	0.98	0.97	0.975	0.995	1	1	1	0.995	4	5	9	0
3	19	F	L	54	16	1.695755447	2.269139713	Super	5866.521978	5638.615819	5754.155989	8372.110526	5838.54359	5411.765625	5626.808786	8372.110526	0.93	0.905	0.9175	0.965	0.995	0.98	0.9875	0.965	13	15	28	0
4	20	F	R	43	17	-3.847096727	-1.897837628	Unlimited	4238.266129	4733.953846	4491.964567	13191.62176	3852.538462	4050.631313	3952.340967	13071.06667	0.64	0.66	0.65	0.99	1	1	1	1	71	68	139	2
5	19	M	R	19	17	0.863789549	1.357784719	Unlimited	7117.726744	7454.674286	7287.657061	11753.75773	6597.571429	7219.953368	6906.362468	11787.35714	0.88	0.905	0.8925	0.985	1	1	1	0.995	24	18	42	2
6	20	F	R	28	16	-2.366358149	-0.117797833	Unlimited	8281.358491	7337.15625	7807.777429	15363.4	6967.6875	6726.576531	6845.889175	15297.87755	0.815	0.82	0.8175	0.995	1	1	1	1	33	36	69	1
7	22	M	R	39	25	0.424959847	0.435624408	Unlimited	7243.484536	7393.304569	7318.969309	16678.07254	7207.847716	7393.304569	7300.576142	16678.07254	0.985	1	0.9925	0.985	1	1	1	0.985	3	0	3	0
8	19	F	R	37	22	-4.512985728	-3.580132003	Limited	7065.857988	6559.585227	6807.585507	15237.07216	6475.030303	6509.205128	6491.987277	15237.07216	0.855	0.905	0.88	1	1	1	1	1	29	19	48	0
9	19	F	R	26	17	-1.132080856	-1.215191642	Unlimited	8337.198953	7807.613757	8073.8	14815.03077	8303.676923	7960.954315	8131.441327	14815.03077	0.98	0.955	0.9675	0.99	1	0.995	0.9975	0.99	4	8	12	0
10	21	F	R	37	20	-0.697287328	-0.614982261	Unlimited	4703.548913	5211.877005	4959.768194	8008.989796	4714.335052	5126.243655	4921.869565	8008.989796	0.95	0.945	0.9475	1	1	0.995	0.9975	1	10	10	20	0
11	20	M	R	28	14	-0.713867109	-0.713867109	Unlimited	6539.473958	5539.14433	6036.717617	11218.31443	6539.473958	5539.14433	6036.717617	11218.31443	0.99	0.995	0.9925	0.995	0.99	0.995	0.9925	0.995	0	0	0	0
12	20	F	R	43	17	-1.935059889	-1.76767937	Unlimited	6221.834197	5921.709184	6070.614396	11022.2487	6157.908163	5899.959596	6028.279188	11005.13918	0.98	0.99	0.985	0.995	0.995	1	0.9975	1	3	2	5	1
13	24	M	R	23	18	-0.490902088	-0.084267271	Unlimited	7251.502732	6846.055249	7049.892857	10733.80952	7040.958974	6858.402062	6949.915167	10733.80952	0.935	0.925	0.93	0.965	0.995	0.99	0.9925	0.965	12	13	25	0
14	19	M	R	49	19	-3.183516627	-2.142631022	Limited	5971.572327	5822.305085	5892.940476	16877.55155	5436.760417	5718.908629	5579.647815	16842.13333	0.83	0.9	0.865	0.985	1	1	1	0.99	33	20	53	1
15	22	M	R	40	25	-0.807353453	-0.911466722	Unlimited	6581.202073	6338.074074	6460.910995	10024.15104	6597.097436	6422.842932	6510.873057	10024.15104	0.985	0.975	0.98	0.985	0.995	0.985	0.99	0.985	2	2	4	0
16	19	F	R	21	11	-0.62404869	-0.402872805	Unlimited	3406.387978	4153.396739	3780.910082	8820.855615	3340.654639	4135.520408	3740.125641	8820.855615	0.935	0.935	0.935	0.96	0.99	0.995	0.9925	0.96	11	12	23	0
17	19	F	R	51	21	-2.867044171	-2.079488411	Limited	3437.261364	2881.897143	3160.37037	5646.685864	3226.469072	2821.310881	3024.413437	5631.651042	0.9	0.905	0.9025	0.985	0.995	0.995	0.995	0.99	18	18	36	1
18	29	F	R	21	13	0.160236175	0.749127382	Unlimited	4946.255556	5219.638889	5082.947222	13160.24352	4820.700508	5115.321244	4966.5	13160.24352	0.91	0.92	0.915	0.98	0.995	0.985	0.99	0.98	17	13	30	0
19	22	F	R	37	21	4.613195895	4.516914628	Super	5288.604278	5045.336788	5165.05	5931.340206	5349.697917	5021.604061	5183.542416	5931.340206	0.965	0.98	0.9725	0.995	0.99	1	0.995	0.995	5	4	9	0
20	18	F	R	19	22	0.246816181	1.53863627	Unlimited	7839.15625	7795.256757	7818.061688	13081.73545	7601.923858	7068.231959	7337.12532	13224.3057	0.814070352	0.76	0.786967419	0.965	1	1	1	0.985	37	46	83	4
21	19	M	R	49	20	-3.807509213	-3.444878281	Limited	3606.7	3542.977528	3575.01676	6173.984536	3452.381443	3544.030612	3498.441026	6173.984536	0.925	0.905	0.915	0.99	1	0.995	0.9975	0.99	14	18	32	0
22	19	F	R	48	18	-3.15685655	-2.789238091	Limited	3297.265193	2990.159341	3143.289256	8405.661202	3226.389744	2928.06701	3077.611825	8405.661202	0.915	0.92	0.9175	0.945	0.985	0.98	0.9825	0.945	14	12	26	0
