"Subject"	"Condition"	"RT"	"Correct"	"Channel1"	"Channel2"
1	"AND"	6234	1	0	1
1	"AND"	2941	1	0	1
1	"AND"	1766	1	0	1
1	"AND"	1626	1	0	1
1	"AND"	3458	1	0	1
1	"AND"	2738	1	0	1
1	"AND"	1763	1	0	1
1	"AND"	2867	1	0	1
1	"AND"	2431	1	0	1
1	"AND"	2085	1	0	1
1	"AND"	6310	1	0	1
1	"AND"	2519	1	0	1
1	"AND"	3151	1	0	1
1	"AND"	1473	1	0	1
1	"AND"	1447	1	0	1
1	"AND"	2640	1	0	1
1	"AND"	7045	1	0	1
1	"AND"	1792	1	0	1
1	"AND"	1923	1	0	1
1	"AND"	2298	1	0	1
1	"AND"	4148	1	0	1
1	"AND"	2991	1	0	1
1	"AND"	3698	1	0	1
1	"AND"	6967	1	0	1
1	"AND"	4440	1	0	1
1	"AND"	3525	1	0	1
1	"AND"	2007	1	0	1
1	"AND"	5983	1	0	1
1	"AND"	2644	1	0	1
1	"AND"	2349	1	0	1
1	"AND"	2842	1	0	1
1	"AND"	18583	0	0	1
1	"AND"	4157	1	0	1
1	"AND"	7686	1	0	1
1	"AND"	2828	1	0	1
1	"AND"	3886	1	0	1
1	"AND"	3991	1	0	1
1	"AND"	2803	1	0	1
1	"AND"	2308	1	0	1
1	"AND"	10221	1	0	1
1	"AND"	5778	1	0	1
1	"AND"	11888	1	0	1
1	"AND"	6725	1	0	1
1	"AND"	3120	1	0	1
1	"AND"	3244	1	0	1
1	"AND"	4526	1	0	1
1	"AND"	9114	1	0	1
1	"AND"	7323	1	0	1
1	"AND"	6282	1	0	1
1	"AND"	12640	1	0	1
1	"AND"	5317	1	0	1
1	"AND"	2339	1	0	1
1	"AND"	3024	1	0	1
1	"AND"	4576	1	0	1
1	"AND"	2463	1	0	1
1	"AND"	9992	1	0	1
1	"AND"	6025	1	0	1
1	"AND"	4726	1	0	1
1	"AND"	6086	1	0	1
1	"AND"	2019	1	0	1
1	"AND"	2105	1	0	1
1	"AND"	12795	1	0	1
1	"AND"	4363	1	0	1
1	"AND"	5356	1	0	1
1	"AND"	9559	1	0	1
1	"AND"	10496	1	0	1
1	"AND"	3809	1	0	1
1	"AND"	2671	1	0	1
1	"AND"	7343	1	0	1
1	"AND"	27628	0	0	1
1	"AND"	3239	1	0	1
1	"AND"	6780	1	0	1
1	"AND"	3735	1	0	1
1	"AND"	3514	1	0	1
1	"AND"	7171	1	0	1
1	"AND"	2697	1	0	1
1	"AND"	4104	1	0	1
1	"AND"	13968	1	0	1
1	"AND"	9112	1	0	1
1	"AND"	5846	1	0	1
1	"AND"	9308	1	0	1
1	"AND"	5423	1	0	1
1	"AND"	2876	1	0	1
1	"AND"	2846	1	0	1
1	"AND"	4496	1	0	1
1	"AND"	3193	1	0	1
1	"AND"	4015	1	0	1
1	"AND"	4812	1	0	1
1	"AND"	2693	1	0	1
1	"AND"	4200	1	0	1
1	"AND"	5213	1	0	1
1	"AND"	3608	1	0	1
1	"AND"	4044	1	0	1
1	"AND"	4659	1	0	1
1	"AND"	2398	1	0	1
1	"AND"	7474	1	0	1
1	"AND"	7169	1	0	1
1	"AND"	12644	1	0	1
1	"AND"	2294	1	0	1
1	"AND"	7022	1	0	1
1	"AND"	2970	1	0	1
1	"AND"	2553	1	0	1
1	"AND"	1688	1	0	1
1	"AND"	2018	1	0	1
1	"AND"	1870	1	0	1
1	"AND"	5472	1	0	1
1	"AND"	3954	1	0	1
1	"AND"	1674	1	0	1
1	"AND"	4658	1	0	1
1	"AND"	660	1	0	1
1	"AND"	6230	1	0	1
1	"AND"	13027	1	0	1
1	"AND"	7498	1	0	1
1	"AND"	2700	1	0	1
1	"AND"	3721	1	0	1
1	"AND"	6004	1	0	1
1	"AND"	7749	1	0	1
1	"AND"	3363	1	0	1
1	"AND"	1852	1	0	1
1	"AND"	8654	1	0	1
1	"AND"	4604	1	0	1
1	"AND"	4633	1	0	1
1	"AND"	2148	1	0	1
1	"AND"	2552	1	0	1
1	"AND"	13335	1	0	1
1	"AND"	3326	1	0	1
1	"AND"	5568	1	0	1
1	"AND"	5947	1	0	1
1	"AND"	12415	1	0	1
1	"AND"	3056	1	0	1
1	"AND"	3987	1	0	1
1	"AND"	4450	1	0	1
1	"AND"	11824	1	0	1
1	"AND"	3527	1	0	1
1	"AND"	4072	1	0	1
1	"AND"	12640	1	0	1
1	"AND"	8110	1	0	1
1	"AND"	2973	1	0	1
1	"AND"	14056	1	0	1
1	"AND"	6672	1	0	1
1	"AND"	18106	0	0	1
1	"AND"	3597	1	0	1
1	"AND"	3618	1	0	1
1	"AND"	3261	1	0	1
1	"AND"	7312	1	0	1
1	"AND"	5464	1	0	1
1	"AND"	6656	1	0	1
1	"AND"	6811	1	0	1
1	"AND"	11340	1	0	1
1	"AND"	10013	1	0	1
1	"AND"	3437	1	0	1
1	"AND"	6149	1	0	1
1	"AND"	6243	1	0	1
1	"AND"	5269	1	0	1
1	"AND"	3492	1	0	1
1	"AND"	6105	1	0	1
1	"AND"	5050	1	0	1
1	"AND"	16693	1	0	1
1	"AND"	4091	1	0	1
1	"AND"	7805	1	0	1
1	"AND"	6192	1	0	1
1	"AND"	5005	1	0	1
1	"AND"	13182	1	0	1
1	"AND"	5132	1	0	1
1	"AND"	14129	1	0	1
1	"AND"	12120	1	0	1
1	"AND"	4405	1	0	1
1	"AND"	6512	1	0	1
1	"AND"	15428	1	0	1
1	"AND"	11052	1	0	1
1	"AND"	16129	1	0	1
1	"AND"	2304	1	0	1
1	"AND"	5027	1	0	1
1	"AND"	6538	1	0	1
1	"AND"	5941	1	0	1
1	"AND"	13103	1	0	1
1	"AND"	6752	1	0	1
1	"AND"	2503	1	0	1
1	"AND"	12887	1	0	1
1	"AND"	5028	1	0	1
1	"AND"	9579	1	0	1
1	"AND"	8657	1	0	1
1	"AND"	14014	1	0	1
1	"AND"	14518	1	0	1
1	"AND"	2970	1	0	1
1	"AND"	6983	1	0	1
1	"AND"	9099	1	0	1
1	"AND"	3171	1	0	1
1	"AND"	5328	1	0	1
1	"AND"	3369	1	0	1
1	"AND"	10778	1	0	1
1	"AND"	6181	1	0	1
1	"AND"	6724	1	0	1
1	"AND"	3270	1	0	1
1	"AND"	6333	1	0	1
1	"AND"	3372	1	0	1
1	"AND"	3410	1	0	1
1	"AND"	9106	1	0	1
1	"AND"	6001	1	0	1
1	"AND"	3205	1	1	0
1	"AND"	7616	1	1	0
1	"AND"	1981	1	1	0
1	"AND"	3064	1	1	0
1	"AND"	2788	1	1	0
1	"AND"	2314	1	1	0
1	"AND"	1818	1	1	0
1	"AND"	1323	1	1	0
1	"AND"	3409	1	1	0
1	"AND"	2170	1	1	0
1	"AND"	8367	1	1	0
1	"AND"	1413	1	1	0
1	"AND"	2973	1	1	0
1	"AND"	6478	1	1	0
1	"AND"	2416	1	1	0
1	"AND"	1986	1	1	0
1	"AND"	10054	1	1	0
1	"AND"	3396	1	1	0
1	"AND"	2141	1	1	0
1	"AND"	5082	1	1	0
1	"AND"	4253	1	1	0
1	"AND"	3093	1	1	0
1	"AND"	1873	1	1	0
1	"AND"	1816	1	1	0
1	"AND"	4548	1	1	0
1	"AND"	6153	1	1	0
1	"AND"	4954	1	1	0
1	"AND"	7580	1	1	0
1	"AND"	3895	1	1	0
1	"AND"	2647	1	1	0
1	"AND"	4508	1	1	0
1	"AND"	7670	1	1	0
1	"AND"	2718	1	1	0
1	"AND"	5553	1	1	0
1	"AND"	4281	1	1	0
1	"AND"	2956	1	1	0
1	"AND"	5271	1	1	0
1	"AND"	2706	1	1	0
1	"AND"	2905	1	1	0
1	"AND"	1939	1	1	0
1	"AND"	4334	1	1	0
1	"AND"	2541	1	1	0
1	"AND"	3735	1	1	0
1	"AND"	2069	1	1	0
1	"AND"	4496	1	1	0
1	"AND"	3527	1	1	0
1	"AND"	6628	1	1	0
1	"AND"	2888	1	1	0
1	"AND"	4420	1	1	0
1	"AND"	2679	1	1	0
1	"AND"	4056	1	1	0
1	"AND"	3548	1	1	0
1	"AND"	16910	1	1	0
1	"AND"	3400	1	1	0
1	"AND"	6471	1	1	0
1	"AND"	3148	1	1	0
1	"AND"	3237	1	1	0
1	"AND"	4190	1	1	0
1	"AND"	3308	1	1	0
1	"AND"	2798	1	1	0
1	"AND"	7342	1	1	0
1	"AND"	11706	1	1	0
1	"AND"	4621	1	1	0
1	"AND"	7658	1	1	0
1	"AND"	3622	1	1	0
1	"AND"	5394	1	1	0
1	"AND"	2175	1	1	0
1	"AND"	2563	1	1	0
1	"AND"	9711	1	1	0
1	"AND"	25645	0	1	0
1	"AND"	2862	1	1	0
1	"AND"	6592	1	1	0
1	"AND"	3261	1	1	0
1	"AND"	3839	1	1	0
1	"AND"	3233	1	1	0
1	"AND"	4672	1	1	0
1	"AND"	3807	1	1	0
