"left"	"right"	"single"	"both"
6970.30113636364	6715.64285714286	6845.93313953488	8491.47701149425
12729.4948453608	13433.7868020305	13084.3427109974	11899.5233160622
3666.89617486339	3262.25543478261	3464.02452316076	4207.27127659574
4111.59375	3962.08376963351	4037.03394255875	4740.66847826087
8571.77040816327	7999.44387755102	8285.60714285714	7017.69892473118
3196.23783783784	3155.78835978836	3175.79679144385	3450.19576719577
7156.78865979381	7291.58031088083	7224.01033591731	8298.87113402062
5446.11538461538	5554.2962962963	5501.22641509434	7460.84183673469
7369.05263157895	7559.94210526316	7464.49736842105	8332.57948717949
13671.1489361702	12507	13079.9319371728	13361.4226804124
7610.96511627907	7503.85964912281	7557.56851311953	8683.00632911392
12348.4166666667	12950.2611464968	12639.1538461538	13682.0584795322
6906.32642487047	7021.43010752688	6962.81530343008	10161.9476439791
8953.33510638298	8814.44329896907	8882.79842931937	10759.3367346939
4020.40462427746	3811.2191011236	3914.32193732194	4190.16574585635
5188.76470588235	4379.08988764045	4793.9095890411	4839.04864864865
6456.6335078534	6572.47120418848	6514.55235602094	6374.3544973545
14264.0899470899	12898.5238095238	13581.3068783069	14398.0705128205
3502.64406779661	3278.30102040816	3384.75871313673	3991.72151898734
6651.0103626943	6700.11290322581	6675.10817941953	6033.40782122905
4856.86979166667	4536.57297297297	4699.6949602122	5434.83422459893
4419.17989417989	4368.21465968586	4393.56315789474	4708.83606557377
7606.05729166667	7590.23711340206	7598.10621761658	8853.91534391534
2632.48502994012	2963.78531073446	2802.95058139535	3139.67741935484
657.19170984456	734.311557788945	696.341836734694	1448.37058823529
10185.6701570681	10991.7696335079	10588.719895288	13090.2604166667
2281.58031088083	3183.58461538462	2734.90721649485	2285.68253968254
12495.3191489362	11913.2741935484	12205.8529411765	13454.6296296296
6311.67955801105	6161.91758241758	6236.59228650138	6624.2625698324
6332.84375	6759.47826086957	6541.62234042553	8448.71052631579
5694.66257668712	6114.45512820513	5899.95297805643	7430.13450292398
4395.64361702128	4598.51595744681	4497.07978723404	4576.08994708995
8332.20833333333	7964.66666666667	8142.10057471264	9425.5027027027
5444.02105263158	5521.4381443299	5483.1328125	6457.56770833333
1275.92857142857	1420.44102564103	1348	3712.29743589744
10377.4824120603	9470.97435897436	9928.82994923858	9267.60621761658
17089.6397849462	14924.8711340206	15984.4684210526	18980.5076923077
8947.71282051282	9886.73195876289	9416.01542416453	9178.81443298969
3377.73575129534	3107.48704663212	3242.61139896373	4070.94897959184
8536.75897435897	9069.86224489796	8803.99232736573	11734.1979695431
8049.11976047904	7433.99425287356	7735.24340175953	9450.83615819209
9331.87765957447	8755.07407407407	9042.71087533156	9839.09844559586
11864.8163265306	11273.375	11572.1443298969	13117.1295336788
7529.25443786982	8325.2049689441	7917.58181818182	7836.83615819209
7125.32653061224	7361.26153846154	7242.99232736573	8163.80612244898
