Subject	Age	Gender	Handedness	WMC	CRAT	CZ	Capacity	RT.left	RT.right	RT.single	RT.both	ACC.left	ACC.right	ACC.single	ACC.both
1	23	F	R	25	22	-10.33260569	Limited	6970.301136	6715.642857	6845.93314	8491.477011	0.88	0.84	0.86	0.87
2	18	F	R	54	18	-6.678270029	Limited	12729.49485	13433.7868	13084.34271	11899.52332	0.97	0.985	0.9775	0.965
3	20	M	R	54	20	-10.33556382	Limited	3666.896175	3262.255435	3464.024523	4207.271277	0.915	0.92	0.9175	0.94
4	24	F	R	25	18	-9.712787105	Limited	4111.59375	3962.08377	4037.033943	4740.668478	0.96	0.955	0.9575	0.92
5	20	M	R	37	15	-5.191123886	Limited	8571.770408	7999.443878	8285.607143	7017.698925	0.98	0.98	0.98	0.93
6	22	F	R	43	20	-9.244755013	Limited	3196.237838	3155.78836	3175.796791	3450.195767	0.925	0.945	0.935	0.945
7	25	M	R	20	25	-9.807053434	Limited	7156.78866	7291.580311	7224.010336	8298.871134	0.97	0.965	0.9675	0.97
8	25	F	R	28	18	-11.71417174	Limited	5446.115385	5554.296296	5501.226415	7460.841837	0.91	0.945	0.9275	0.98
9	20	M	R	23	16	-9.205148794	Limited	7369.052632	7559.942105	7464.497368	8332.579487	0.95	0.95	0.95	0.975
10	25	M	R	41	21	-8.123489787	Limited	13671.14894	12507	13079.93194	13361.42268	0.94	0.97	0.955	0.97
11	28	F	R	38	26	-8.883001266	Limited	7610.965116	7503.859649	7557.568513	8683.006329	0.86	0.855	0.8575	0.79
12	20	F	R	23	15	-8.08116904	Limited	12348.41667	12950.26115	12639.15385	13682.05848	0.84	0.785	0.8125	0.855
13	24	M	R	12	18	-11.52501677	Limited	6906.326425	7021.430108	6962.815303	10161.94764	0.965	0.93	0.9475	0.955
14	22	M	R	37	17	-10.18435283	Limited	8953.335106	8814.443299	8882.798429	10759.33673	0.94	0.97	0.955	0.98
15	34	F	R	38	24	-8.517499492	Limited	4020.404624	3811.219101	3914.321937	4190.165746	0.865	0.89	0.8775	0.905
16	19	F	L	30	23	-7.744908062	Limited	5188.764706	4379.089888	4793.909589	4839.048649	0.935	0.89	0.9125	0.925
17	21	F	R	28	11	-7.792983036	Limited	6456.633508	6572.471204	6514.552356	6374.354497	0.955	0.955	0.955	0.945
18	20	F	R	20	20	-8.432338186	Limited	14264.08995	12898.52381	13581.30688	14398.07051	0.945	0.945	0.945	0.78
19	25	M	R	43	19	-9.478830633	Limited	3502.644068	3278.30102	3384.758713	3991.721519	0.885	0.98	0.9325	0.79
20	27	M	R	39	21	-6.101746708	Limited	6651.010363	6700.112903	6675.108179	6033.407821	0.965	0.93	0.9475	0.895
21	21	F	R	23	18	-9.534679171	Limited	4856.869792	4536.572973	4699.69496	5434.834225	0.96	0.925	0.9425	0.935
22	21	F	R	43	21	-8.669907068	Limited	4419.179894	4368.21466	4393.563158	4708.836066	0.945	0.955	0.95	0.915
23	26	F	R	19	20	-9.96197483	Limited	7606.057292	7590.237113	7598.106218	8853.915344	0.96	0.97	0.965	0.945
24	20	F	R	42	18	-8.935905097	Limited	2632.48503	2963.785311	2802.950581	3139.677419	0.835	0.885	0.86	0.93
25	21	F	R	45	17	-15.48561555	Limited	657.1917098	734.3115578	696.3418367	1448.370588	0.965	0.995	0.98	0.85
26	22	F	R	33	18	-10.21611773	Limited	10185.67016	10991.76963	10588.7199	13090.26042	0.955	0.955	0.955	0.96
27	24	M	R	28	21	-6.367251659	Limited	2281.580311	3183.584615	2734.907216	2285.68254	0.965	0.975	0.97	0.945
28	18	F	R	25	13	-8.953086981	Limited	12495.31915	11913.27419	12205.85294	13454.62963	0.94	0.93	0.935	0.945
29	19	M	R	33	15	-8.300138005	Limited	6311.679558	6161.917582	6236.592287	6624.26257	0.905	0.91	0.9075	0.895
30	20	F	R	37	21	-11.14800375	Limited	6332.84375	6759.478261	6541.62234	8448.710526	0.96	0.92	0.94	0.95
31	24	F	R	44	14	-10.0905406	Limited	5694.662577	6114.455128	5899.952978	7430.134503	0.815	0.78	0.7975	0.855
32	20	M	R	23	12	-8.050429219	Limited	4395.643617	4598.515957	4497.079787	4576.089947	0.94	0.94	0.94	0.945
33	20	M	R	33	9	-9.406396078	Limited	8332.208333	7964.666667	8142.100575	9425.502703	0.84	0.9	0.87	0.925
34	20	M	R	23	14	-9.786511403	Limited	5444.021053	5521.438144	5483.132813	6457.567708	0.95	0.97	0.96	0.96
35	23	M	R	35	20	-14.97510697	Limited	1275.928571	1420.441026	1348	3712.297436	0.98	0.975	0.9775	0.975
36	25	M	R	45	14	-7.516486281	Limited	10377.48241	9470.974359	9928.829949	9267.606218	0.995	0.975	0.985	0.965
37	28	M	R	48	24	-9.832398512	Limited	17089.63978	14924.87113	15984.46842	18980.50769	0.93	0.97	0.95	0.975
38	24	M	R	23	12	-7.22742474	Limited	8947.712821	9886.731959	9416.015424	9178.814433	0.975	0.97	0.9725	0.97
39	20	M	R	43	19	-11.3044892	Limited	3377.735751	3107.487047	3242.611399	4070.94898	0.965	0.965	0.965	0.98
40	25	M	R	12	14	-11.34282217	Limited	8536.758974	9069.862245	8803.992327	11734.19797	0.975	0.98	0.9775	0.985
41	29	M	R	32	23	-9.750153798	Limited	8049.11976	7433.994253	7735.243402	9450.836158	0.835	0.87	0.8525	0.885
42	22	M	R	28	21	-8.919186828	Limited	9331.87766	8755.074074	9042.710875	9839.098446	0.94	0.945	0.9425	0.965
43	24	M	R	48	24	-9.68860171	Limited	11864.81633	11273.375	11572.14433	13117.12953	0.98	0.96	0.97	0.965
44	22	M	R	25	16	-7.183403045	Limited	7529.254438	8325.204969	7917.581818	7836.836158	0.845	0.805	0.825	0.885
45	20	F	R	43	19	-10.14300444	Limited	7125.326531	7361.261538	7242.992327	8163.806122	0.98	0.975	0.9775	0.98
