"left"	"right"	"single"	"both"
5199.58375634518	5699.41836734694	5448.86513994911	8519.57291666667
8170.645	7887.37305699482	8031.53180661578	12483.3979591837
5838.54358974359	5411.765625	5626.80878552972	8372.11052631579
3852.53846153846	4050.63131313131	3952.34096692112	13071.0666666667
6597.57142857143	7219.95336787565	6906.36246786632	11787.3571428571
6967.6875	6726.57653061224	6845.88917525773	15297.8775510204
7207.84771573604	7393.30456852792	7300.57614213198	16678.0725388601
6475.0303030303	6509.20512820513	6491.98727735369	15237.0721649485
8303.67692307692	7960.95431472081	8131.44132653061	14815.0307692308
4714.33505154639	5126.24365482233	4921.86956521739	8008.98979591837
6539.47395833333	5539.14432989691	6036.71761658031	11218.3144329897
6157.90816326531	5899.9595959596	6028.27918781726	11005.1391752577
7040.95897435897	6858.40206185567	6949.91516709512	10733.8095238095
5436.76041666667	5718.90862944162	5579.64781491003	16842.1333333333
6597.09743589744	6422.84293193717	6510.87305699482	10024.1510416667
3340.65463917526	4135.52040816327	3740.12564102564	8820.85561497326
3226.46907216495	2821.31088082902	3024.41343669251	5631.65104166667
4820.70050761421	5115.32124352332	4966.5	13160.2435233161
5349.69791666667	5021.60406091371	5183.54241645244	5931.34020618557
7601.92385786802	7068.23195876289	7337.12531969309	13224.3056994819
3452.38144329897	3544.0306122449	3498.44102564103	6173.98453608247
3226.38974358974	2928.06701030928	3077.6118251928	8405.66120218579
4833.12820512821	4748.78787878788	4790.63613231552	8147.34693877551
6521.49230769231	6199.78571428571	6360.22762148338	15437.675257732
2991.38190954774	2489.03571428571	2742.1164556962	15084.4897959184
3184.91191709845	2694.27411167513	2937.07692307692	9263.83163265306
2597.21989528796	2584.5306122449	2590.79328165375	4682.89690721649
4503.78645833333	4660.22222222222	4583.20769230769	6824.14432989691
3981.64210526316	3878.74210526316	3930.19210526316	4895.24468085106
5400.58974358974	5932.33163265306	5667.14066496164	7433.83333333333
5638.28272251309	5625.73869346734	5631.88205128205	8444.68911917098
6668.18652849741	6953.75257731959	6811.33850129199	11038.7783505155
13625.0659898477	12238.8041237113	12937.2531969309	16675.0927835052
7467.15979381443	7532.96907216495	7500.06443298969	25523.0102564103
5412.46231155779	5001.26395939086	5207.90151515152	10863.7236180905
10315.1060606061	8514.71354166667	9428.75897435897	18949.3410404624
12499.4183673469	12361.5279187817	12430.2977099237	21677.5714285714
8473.90404040404	8706.78350515464	8589.1556122449	16535.1428571429
2162.48979591837	1561.49748743719	1859.71139240506	5126.4381443299
10494.1734693878	12669.898989899	11587.5583756345	32868.1421319797
5565.78282828283	6071.0829015544	5815.20204603581	16046.558974359
6591.29949238579	6486.37368421053	6539.78552971576	14468.1340206186
7987.13402061856	8179.21538461538	8083.42159383033	12252.0862944162
9400.52551020408	10586.6515151515	9996.59898477157	15112.0618556701
3660.16923076923	3847.29591836735	3753.97186700767	5795.71134020619
3720.35384615385	3303.11224489796	3511.19948849105	8868.44041450777
"left"	"right"	"single"	"both"
