"left"	"right"	"single"	"both"
194	194	388	192
196	188	384	196
182	177	359	190
124	130	254	193
172	175	347	194
159	160	319	195
194	197	391	193
169	176	345	194
191	189	380	195
184	187	371	196
192	194	386	194
193	196	389	193
183	181	364	189
159	177	336	194
193	189	382	192
183	184	367	187
176	175	351	191
180	180	360	193
187	193	380	194
160	148	308	189
180	178	358	194
181	182	363	183
181	185	366	196
177	184	361	193
173	169	342	195
173	174	347	194
165	167	332	194
184	190	374	194
187	187	374	188
185	182	367	192
184	190	374	192
191	194	385	194
193	189	382	192
189	192	381	195
193	190	383	198
192	182	374	171
194	196	390	196
192	192	384	194
188	183	371	194
154	160	314	197
173	175	348	195
176	171	347	193
185	188	373	197
194	197	391	194
192	192	384	192
182	182	364	192
