"left"	"right"	"single"	"both"
197	196	393	192
200	193	393	196
195	192	387	190
195	198	393	195
196	193	389	196
192	196	388	196
197	197	394	193
198	195	393	194
195	197	392	195
194	197	391	196
192	194	386	194
196	198	394	194
195	194	389	189
192	197	389	195
195	191	386	192
194	196	390	187
194	193	387	192
197	193	390	193
192	197	389	194
197	194	391	193
194	196	390	194
195	194	389	183
195	198	393	196
195	196	391	194
199	196	395	196
193	197	390	196
191	196	387	194
192	198	390	194
190	190	380	188
195	196	391	192
191	199	390	193
193	194	387	194
197	194	391	194
194	194	388	195
199	197	396	199
198	192	390	173
196	197	393	196
198	194	392	196
196	199	395	194
196	198	394	197
198	193	391	195
197	190	387	194
194	195	389	197
196	198	394	194
195	196	391	194
195	196	391	193
