"left"	"right"	"single"	"both"
176	168	344	174
194	197	391	193
183	184	367	188
192	191	383	184
196	196	392	186
185	189	374	189
194	193	387	194
182	189	371	196
190	190	380	195
188	194	382	194
172	171	343	158
168	157	325	171
193	186	379	191
188	194	382	196
173	178	351	181
187	178	365	185
191	191	382	189
189	189	378	156
177	196	373	158
193	186	379	179
192	185	377	187
189	191	380	183
192	194	386	189
167	177	344	186
193	199	392	170
191	191	382	192
193	195	388	189
188	186	374	189
181	182	363	179
192	184	376	190
163	156	319	171
188	188	376	189
168	180	348	185
190	194	384	192
196	195	391	195
199	195	394	193
186	194	380	195
195	194	389	194
193	193	386	196
195	196	391	197
167	174	341	177
188	189	377	193
196	192	388	193
169	161	330	177
196	195	391	196
