"Subject"	"Condition"	"RT"	"Correct"	"Channel1"	"Channel2"
1	"OR"	4741	1	0	1
1	"OR"	20619	1	0	1
1	"OR"	5757	1	0	1
1	"OR"	3609	1	0	1
1	"OR"	11586	1	0	1
1	"OR"	3481	1	0	1
1	"OR"	1954	1	0	1
1	"OR"	987	1	0	1
1	"OR"	5539	1	0	1
1	"OR"	3293	1	0	1
1	"OR"	5186	1	0	1
1	"OR"	2577	1	0	1
1	"OR"	6444	1	0	1
1	"OR"	3842	1	0	1
1	"OR"	6050	1	0	1
1	"OR"	14785	1	0	1
1	"OR"	4101	1	0	1
1	"OR"	11853	1	0	1
1	"OR"	18600	1	0	1
1	"OR"	3661	1	0	1
1	"OR"	6016	1	0	1
1	"OR"	11830	1	0	1
1	"OR"	9473	1	0	1
1	"OR"	3029	1	0	1
1	"OR"	5141	1	0	1
1	"OR"	2505	1	0	1
1	"OR"	17663	1	0	1
1	"OR"	5967	1	0	1
1	"OR"	4265	1	0	1
1	"OR"	8701	1	0	1
1	"OR"	11946	1	0	1
1	"OR"	7655	1	0	1
1	"OR"	2731	1	0	1
1	"OR"	4610	1	0	1
1	"OR"	2651	1	0	1
1	"OR"	8282	1	0	1
1	"OR"	2026	1	0	1
1	"OR"	4385	1	0	1
1	"OR"	6056	1	0	1
1	"OR"	4457	1	0	1
1	"OR"	7084	1	0	1
1	"OR"	3048	1	0	1
1	"OR"	13561	1	0	1
1	"OR"	8891	1	0	1
1	"OR"	2762	1	0	1
1	"OR"	3261	1	0	1
1	"OR"	4598	1	0	1
1	"OR"	4443	1	0	1
1	"OR"	5513	1	0	1
1	"OR"	6069	1	0	1
1	"OR"	7166	1	0	1
1	"OR"	7531	1	0	1
1	"OR"	5346	1	0	1
1	"OR"	5083	1	0	1
1	"OR"	10454	1	0	1
1	"OR"	7934	1	0	1
1	"OR"	7508	1	0	1
1	"OR"	8691	1	0	1
1	"OR"	7510	1	0	1
1	"OR"	20709	1	0	1
1	"OR"	6059	1	0	1
1	"OR"	8264	1	0	1
1	"OR"	3578	1	0	1
1	"OR"	9800	1	0	1
1	"OR"	2415	1	0	1
1	"OR"	11174	1	0	1
1	"OR"	33257	0	0	1
1	"OR"	4655	1	0	1
1	"OR"	8317	1	0	1
1	"OR"	21695	1	0	1
1	"OR"	5792	1	0	1
1	"OR"	11654	1	0	1
1	"OR"	8492	1	0	1
1	"OR"	3854	1	0	1
1	"OR"	6063	1	0	1
1	"OR"	4272	1	0	1
1	"OR"	4096	1	0	1
1	"OR"	4934	1	0	1
1	"OR"	19020	1	0	1
1	"OR"	19093	1	0	1
1	"OR"	4517	1	0	1
1	"OR"	13646	1	0	1
1	"OR"	6279	1	0	1
1	"OR"	2277	1	0	1
1	"OR"	2820	1	0	1
1	"OR"	15528	1	0	1
1	"OR"	6496	1	0	1
1	"OR"	3772	1	0	1
1	"OR"	1767	1	0	1
1	"OR"	14876	1	0	1
1	"OR"	17183	1	0	1
1	"OR"	12955	1	0	1
1	"OR"	6373	1	0	1
1	"OR"	5006	1	0	1
1	"OR"	4288	1	0	1
1	"OR"	3663	1	0	1
1	"OR"	7071	1	0	1
1	"OR"	3605	1	0	1
1	"OR"	5035	1	0	1
1	"OR"	6137	1	0	1
1	"OR"	4009	1	0	1
1	"OR"	6342	1	0	1
1	"OR"	5678	1	0	1
1	"OR"	13543	1	0	1
1	"OR"	2529	1	0	1
1	"OR"	5907	1	0	1
1	"OR"	4358	1	0	1
1	"OR"	12678	1	0	1
1	"OR"	11471	1	0	1
1	"OR"	6757	1	0	1
1	"OR"	3192	1	0	1
1	"OR"	8830	1	0	1
1	"OR"	6119	1	0	1
1	"OR"	6517	1	0	1
1	"OR"	3542	1	0	1
1	"OR"	2994	1	0	1
1	"OR"	8345	1	0	1
1	"OR"	8139	1	0	1
1	"OR"	3718	1	0	1
1	"OR"	5615	1	0	1
1	"OR"	5447	1	0	1
1	"OR"	5372	1	0	1
1	"OR"	7150	1	0	1
1	"OR"	5024	1	0	1
1	"OR"	4675	1	0	1
1	"OR"	12332	1	0	1
1	"OR"	3720	1	0	1
1	"OR"	3307	1	0	1
1	"OR"	5881	1	0	1
1	"OR"	40276	0	0	1
1	"OR"	5321	1	0	1
1	"OR"	2664	1	0	1
1	"OR"	9644	1	0	1
1	"OR"	3593	1	0	1
1	"OR"	15243	1	0	1
1	"OR"	14762	1	0	1
1	"OR"	3431	1	0	1
1	"OR"	10935	1	0	1
1	"OR"	2225	1	0	1
1	"OR"	6151	1	0	1
1	"OR"	45278	0	0	1
1	"OR"	3298	1	0	1
1	"OR"	13424	1	0	1
1	"OR"	6555	1	0	1
1	"OR"	7657	1	0	1
1	"OR"	3058	1	0	1
1	"OR"	29533	0	0	1
1	"OR"	3792	1	0	1
1	"OR"	2856	1	0	1
1	"OR"	1572	1	0	1
1	"OR"	3276	1	0	1
1	"OR"	4992	1	0	1
1	"OR"	3339	1	0	1
1	"OR"	11603	1	0	1
1	"OR"	2283	1	0	1
1	"OR"	5656	1	0	1
1	"OR"	2472	1	0	1
1	"OR"	7116	1	0	1
1	"OR"	7121	1	0	1
1	"OR"	2281	1	0	1
1	"OR"	2958	1	0	1
1	"OR"	11282	1	0	1
1	"OR"	2226	1	0	1
1	"OR"	3585	1	0	1
1	"OR"	1455	1	0	1
1	"OR"	2271	1	0	1
1	"OR"	5919	1	0	1
1	"OR"	2503	1	0	1
1	"OR"	3429	1	0	1
1	"OR"	8431	1	0	1
1	"OR"	6014	1	0	1
1	"OR"	6907	1	0	1
1	"OR"	3390	1	1	0
1	"OR"	2470	1	1	0
1	"OR"	5865	1	1	0
1	"OR"	3095	1	1	0
1	"OR"	9977	1	1	0
1	"OR"	2025	1	1	0
1	"OR"	3101	1	1	0
1	"OR"	12940	1	1	0
1	"OR"	3210	1	1	0
1	"OR"	2551	1	1	0
1	"OR"	6147	1	1	0
1	"OR"	7514	1	1	0
1	"OR"	4120	1	1	0
1	"OR"	1471	1	1	0
1	"OR"	7245	1	1	0
1	"OR"	10205	1	1	0
1	"OR"	6355	1	1	0
1	"OR"	1829	1	1	0
1	"OR"	14768	1	1	0
1	"OR"	8244	1	1	0
1	"OR"	9650	1	1	0
1	"OR"	26060	0	1	0
1	"OR"	9706	1	1	0
1	"OR"	981	1	1	0
1	"OR"	6610	1	1	0
1	"OR"	9566	1	1	0
1	"OR"	9041	1	1	0
1	"OR"	3512	1	1	0
1	"OR"	9351	1	1	0
1	"OR"	22083	1	1	0
1	"OR"	7230	1	1	0
1	"OR"	4586	1	1	0
1	"OR"	12259	1	1	0
1	"OR"	5226	1	1	0
1	"OR"	16497	1	1	0
1	"OR"	2020	1	1	0
1	"OR"	5118	1	1	0
1	"OR"	8960	1	1	0
1	"OR"	15327	1	1	0
1	"OR"	8651	1	1	0
1	"OR"	19313	1	1	0
1	"OR"	2634	1	1	0
1	"OR"	11605	1	1	0
1	"OR"	4119	1	1	0
1	"OR"	3814	1	1	0
1	"OR"	4751	1	1	0
1	"OR"	20615	1	1	0
1	"OR"	2448	1	1	0
1	"OR"	3908	1	1	0
1	"OR"	6953	1	1	0
1	"OR"	4964	1	1	0
1	"OR"	12708	1	1	0
1	"OR"	2332	1	1	0
1	"OR"	3349	1	1	0
1	"OR"	7049	1	1	0
1	"OR"	13059	1	1	0
1	"OR"	7204	1	1	0
1	"OR"	4608	1	1	0
1	"OR"	14819	1	1	0
1	"OR"	8298	1	1	0
1	"OR"	3768	1	1	0
1	"OR"	5219	1	1	0
1	"OR"	11389	1	1	0
1	"OR"	1874	1	1	0
1	"OR"	6046	1	1	0
1	"OR"	5829	1	1	0
1	"OR"	5759	1	1	0
1	"OR"	21411	1	1	0
1	"OR"	4584	1	1	0
1	"OR"	8567	1	1	0
1	"OR"	7429	1	1	0
1	"OR"	5176	1	1	0
1	"OR"	11671	1	1	0
1	"OR"	13234	1	1	0
1	"OR"	12198	1	1	0
1	"OR"	13475	1	1	0
1	"OR"	3040	1	1	0
1	"OR"	5185	1	1	0
1	"OR"	5469	1	1	0
1	"OR"	23289	1	1	0
1	"OR"	2988	1	1	0
1	"OR"	5167	1	1	0
1	"OR"	10689	1	1	0
1	"OR"	7734	1	1	0
1	"OR"	10313	1	1	0
1	"OR"	4981	1	1	0
1	"OR"	9719	1	1	0
1	"OR"	8698	1	1	0
1	"OR"	9131	1	1	0
1	"OR"	7412	1	1	0
1	"OR"	3264	1	1	0
1	"OR"	7934	1	1	0
1	"OR"	22021	1	1	0
1	"OR"	3847	1	1	0
1	"OR"	5990	1	1	0
1	"OR"	2081	1	1	0
1	"OR"	6708	1	1	0
1	"OR"	3737	1	1	0
1	"OR"	1957	1	1	0
1	"OR"	4563	1	1	0
1	"OR"	6176	1	1	0
1	"OR"	3797	1	1	0
1	"OR"	7577	1	1	0
1	"OR"	17195	1	1	0
1	"OR"	5885	1	1	0
1	"OR"	4814	1	1	0
1	"OR"	3181	1	1	0
1	"OR"	3096	1	1	0
1	"OR"	3625	1	1	0
1	"OR"	3273	1	1	0
1	"OR"	5044	1	1	0
1	"OR"	4134	1	1	0
1	"OR"	4164	1	1	0
1	"OR"	4074	1	1	0
1	"OR"	24384	1	1	0
1	"OR"	4123	1	1	0
1	"OR"	6812	1	1	0
1	"OR"	8743	1	1	0
1	"OR"	4099	1	1	0
1	"OR"	9487	1	1	0
1	"OR"	6386	1	1	0
1	"OR"	3189	1	1	0
1	"OR"	3868	1	1	0
1	"OR"	1963	1	1	0
1	"OR"	6535	1	1	0
1	"OR"	8267	1	1	0
1	"OR"	11320	1	1	0
1	"OR"	16410	1	1	0
1	"OR"	4096	1	1	0
1	"OR"	11301	1	1	0
1	"OR"	3018	1	1	0
1	"OR"	2967	1	1	0
1	"OR"	3737	1	1	0
1	"OR"	6805	1	1	0
1	"OR"	14640	1	1	0
1	"OR"	3383	1	1	0
1	"OR"	9650	1	1	0
1	"OR"	11263	1	1	0
1	"OR"	3972	1	1	0
1	"OR"	2532	1	1	0
1	"OR"	2025	1	1	0
1	"OR"	1673	1	1	0
1	"OR"	6560	1	1	0
1	"OR"	4718	1	1	0
1	"OR"	5564	1	1	0
1	"OR"	9680	1	1	0
1	"OR"	5560	1	1	0
1	"OR"	12568	1	1	0
1	"OR"	7153	1	1	0
1	"OR"	2512	1	1	0
1	"OR"	3669	1	1	0
1	"OR"	4818	1	1	0
1	"OR"	1677	1	1	0
1	"OR"	20191	1	1	0
1	"OR"	2157	1	1	0
1	"OR"	3561	1	1	0
1	"OR"	1775	1	1	0
1	"OR"	10274	1	1	0
1	"OR"	5836	1	1	0
1	"OR"	2974	1	1	0
1	"OR"	4568	1	1	0
1	"OR"	3395	1	1	0
1	"OR"	15633	1	1	0
1	"OR"	3025	1	1	0
1	"OR"	2621	1	1	0
1	"OR"	2402	1	1	0
1	"OR"	2616	1	1	0
1	"OR"	4525	1	1	0
1	"OR"	4087	1	1	0
1	"OR"	1873	1	1	0
1	"OR"	4212	1	1	0
1	"OR"	2616	1	1	0
1	"OR"	7035	1	1	0
1	"OR"	6271	1	1	0
1	"OR"	4259	1	1	0
1	"OR"	17152	1	1	0
1	"OR"	1561	1	1	0
1	"OR"	13063	1	1	1
1	"OR"	20204	1	1	1
1	"OR"	1853	1	1	1
1	"OR"	3992	1	1	1
1	"OR"	5869	1	1	1
1	"OR"	22772	1	1	1
1	"OR"	7790	1	1	1
1	"OR"	14671	1	1	1
1	"OR"	12315	1	1	1
1	"OR"	3285	1	1	1
1	"OR"	3916	1	1	1
1	"OR"	5192	1	1	1
1	"OR"	2552	1	1	1
1	"OR"	8319	1	1	1
1	"OR"	2479	1	1	1
1	"OR"	10120	1	1	1
1	"OR"	7984	1	1	1
1	"OR"	7379	1	1	1
1	"OR"	33703	0	1	1
1	"OR"	18546	1	1	1
1	"OR"	3759	1	1	1
1	"OR"	9181	1	1	1
1	"OR"	3642	1	1	1
1	"OR"	15785	1	1	1
1	"OR"	25746	1	1	1
1	"OR"	10523	1	1	1
1	"OR"	16319	1	1	1
1	"OR"	4453	1	1	1
1	"OR"	7364	1	1	1
1	"OR"	4485	1	1	1
1	"OR"	12503	1	1	1
1	"OR"	6645	1	1	1
1	"OR"	6159	1	1	1
1	"OR"	5504	1	1	1
1	"OR"	8256	1	1	1
1	"OR"	16731	1	1	1
1	"OR"	11762	1	1	1
1	"OR"	6100	1	1	1
1	"OR"	8114	1	1	1
1	"OR"	4178	1	1	1
1	"OR"	4679	1	1	1
1	"OR"	4566	1	1	1
1	"OR"	8009	1	1	1
1	"OR"	3767	1	1	1
1	"OR"	23809	1	1	1
1	"OR"	9685	1	1	1
1	"OR"	11447	1	1	1
1	"OR"	5365	1	1	1
1	"OR"	7734	1	1	1
1	"OR"	48036	0	1	1
1	"OR"	2439	1	1	1
1	"OR"	5436	1	1	1
1	"OR"	9305	1	1	1
1	"OR"	6822	1	1	1
1	"OR"	23885	1	1	1
1	"OR"	10036	1	1	1
1	"OR"	3463	1	1	1
1	"OR"	5410	1	1	1
1	"OR"	8520	1	1	1
1	"OR"	10696	1	1	1
1	"OR"	6024	1	1	1
1	"OR"	26924	1	1	1
1	"OR"	8487	1	1	1
1	"OR"	13766	1	1	1
1	"OR"	7909	1	1	1
1	"OR"	7161	1	1	1
1	"OR"	8038	1	1	1
1	"OR"	24753	1	1	1
1	"OR"	6579	1	1	1
1	"OR"	8357	1	1	1
1	"OR"	17386	1	1	1
1	"OR"	25294	1	1	1
1	"OR"	17838	1	1	1
1	"OR"	6962	1	1	1
1	"OR"	9999	1	1	1
1	"OR"	1714	1	1	1
1	"OR"	4158	1	1	1
1	"OR"	9854	1	1	1
1	"OR"	13226	1	1	1
1	"OR"	15681	1	1	1
